;;Acuan Pencarian;;ditampilkan;;;;;;;;;;;;;;;
Supplier;Name;Order;Supplier;Internal Reference;Item Number;Description;Description2;Quantity Ordered;Unit of Measure; PO Cost ;Currency;Taxable;Tax Class;Tax Rate;Receipt Date;External Reference;Transaction Date;Receipt Quantity;Receipt_Price
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC230685;TYT-FH028-LO;HOL,CAB MOU CUSHION NO.2;52219-0K010;21.000,00;PC;124;IDR;No;PPN;12,00%;08/07/2025;250702 G;08/07/2025;1.800,00;222.912,00
SCJP0003;BENGKEL RIDHO;SC250262;SCJP0003;RC230686;KYB-FS046-O;STOPPER;12201-01809-;143.000,00;PC;17;IDR;No;PPN;12,00%;08/07/2025;250702 B;08/07/2025;13.000,00;221.000,00
SCJP0003;BENGKEL RIDHO;SC250262;SCJP0003;RC230687;AHM-FD017-LO;PIN DOWEL 6 X 10;94302-06100;28.000,00;PC;63;IDR;No;PPN;12,00%;08/07/2025;250702 F;08/07/2025;4.000,00;253.440,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC230688;AHM-FS006-LO;SHAFT GEAR SHIFT FORK;24241-KPH-9002;6.000,00;PC;63;IDR;No;PPN;12,00%;08/07/2025;250702 F;08/07/2025;1.000,00;63.360,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC230688;NKI-FB082-O;BUSH;33546-BZ010;4.000,00;PC;66;IDR;No;PPN;12,00%;08/07/2025;250702 F;08/07/2025;1.000,00;66.080,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC230689;AHM-FJ001-O;JOINT B BRAKE ARM;95015-32001;60.000,00;PC;188;IDR;No;PPN;12,00%;08/07/2025;250702 A;08/07/2025;7.000,00;1.316.000,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC230689;AHM-FP073-O;PIN A PILLION STEP 103;95015-81000;70.000,00;PC;89;IDR;No;PPN;12,00%;08/07/2025;250702 A;08/07/2025;13.500,00;1.201.500,00
SCJP0003;BENGKEL RIDHO;SC250262;SCJP0003;RC230690;AHM-FC133-LO;COLLAR CAM CHAINTENSIONE;14531-KYZ -9000;8.000,00;PC;51;IDR;No;PPN;12,00%;08/07/2025;250702 I;08/07/2025;2.000,00;101.440,00
SCJP0003;BENGKEL RIDHO;SC250262;SCJP0003;RC230690;NKI-FC029-LO;COLLAR;710007-118-0;8.000,00;PC;38;IDR;No;PPN;12,00%;08/07/2025;250702 I;08/07/2025;2.000,00;75.200,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC230758;RC147-O;BUSH, M STAND;11205-K0J -N000-H1;331.000,00;PC;97;IDR;No;PPN;12,00%;10/07/2025;250703 E;10/07/2025;28.000,00;2.716.000,00
SCJP0003;BENGKEL RIDHO;SC250262;SCJP0003;RC230773;KYB-FS046-O;STOPPER;12201-01809-;143.000,00;PC;17;IDR;No;PPN;12,00%;10/07/2025;250703B;10/07/2025;13.000,00;221.000,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC230774;AHM-FJ001-O;JOINT B BRAKE ARM;95015-32001;60.000,00;PC;188;IDR;No;PPN;12,00%;10/07/2025;250703A;10/07/2025;6.000,00;1.128.000,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC230774;AHM-FP073-O;PIN A PILLION STEP 103;95015-81000;70.000,00;PC;89;IDR;No;PPN;12,00%;10/07/2025;250703A;10/07/2025;3.000,00;267.000,00
SCJP0003;BENGKEL RIDHO;SC250262;SCJP0003;RC230777;NKI-FC029-LO;COLLAR;710007-118-0;8.000,00;PC;38;IDR;No;PPN;12,00%;10/07/2025;250703 I;10/07/2025;2.000,00;75.200,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC230775;AHM-FC188-LO;COLLAR START REDUCTION;28133-KRM -8501;15.000,00;PC;55;IDR;No;PPN;12,00%;10/07/2025;250703G;10/07/2025;2.000,00;109.820,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC230775;TYT-FH027-LO;HOL,CAB MOU CUSHION NO.1;52218-0K010;15.000,00;PC;124;IDR;No;PPN;12,00%;10/07/2025;250703G;10/07/2025;2.100,00;260.064,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC230775;TYT-FH028-LO;HOL,CAB MOU CUSHION NO.2;52219-0K010;21.000,00;PC;124;IDR;No;PPN;12,00%;10/07/2025;250703G;10/07/2025;2.800,00;346.752,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC230775;TYT-FH040-LO;HOL,CAB MOU CUSHION NO.2;52219-KK010;12.000,00;PC;124;IDR;No;PPN;12,00%;10/07/2025;250703G;10/07/2025;1.500,00;185.760,00
SCJP0003;BENGKEL RIDHO;SC250262;SCJP0003;RC230778;AHM-FD017-LO;PIN DOWEL 6 X 10;94302-06100;28.000,00;PC;63;IDR;No;PPN;12,00%;10/07/2025;250703 F;10/07/2025;2.000,00;126.720,00
SCJP0003;BENGKEL RIDHO;SC250262;SCJP0003;RC230778;AHM-FS018-LO;SHAFT REDUCTION GEAR;28132-KGH-9100;6.000,00;PC;48;IDR;No;PPN;12,00%;10/07/2025;250703 F;10/07/2025;1.800,00;85.536,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC230779;NKI-FB082-O;BUSH;33546-BZ010;4.000,00;PC;66;IDR;No;PPN;12,00%;10/07/2025;250703 F;10/07/2025;1.000,00;66.080,00
SCJP0003;BENGKEL RIDHO;SC250202;SCJP0003;RC230781;AHM-FC190-LO;COLLAR RR AXLE DISTANCE;42620-K56-N100;1.000,00;PC;241;IDR;No;PPN;12,00%;10/07/2025;250703 H;10/07/2025;200;48.154,00
SCJP0003;BENGKEL RIDHO;SC250394;SCJP0003;RC230780;AHM-FS006-LO;SHAFT GEAR SHIFT FORK;24241-KPH-9002;6.000,00;PC;63;IDR;No;PPN;12,00%;10/07/2025;250703 F;10/07/2025;2.000,00;126.720,00
SCJP0003;BENGKEL RIDHO;SC250394;SCJP0003;RC230780;NKI-FB082-O;BUSH;33546-BZ010;4.000,00;PC;66;IDR;No;PPN;12,00%;10/07/2025;250703 F;10/07/2025;1.000,00;66.080,00
SCJP0003;BENGKEL RIDHO;LK251878;SCJP0003;RC230798;RC132;KAWAT GUIDE; CLAMPER A BRAKE HOSE;150.000,00;PC;294;IDR;No;PPN;12,00%;10/07/2025;250703 C;10/07/2025;18.750,00;5.512.500,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC230799;AHM-FC193-1-O;PIPA COLLAR HORN SET;#0,8�0,08 X 52�0,5 X1219;18.000,00;PC;36;IDR;No;PPN;12,00%;10/07/2025;250703 D;10/07/2025;4.000,00;144.000,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC230799;TRD-FC158-1-O;COLLAR, WASHER;3G81-150-7750;21.000,00;PC;27;IDR;No;PPN;12,00%;10/07/2025;250703 D;10/07/2025;5.000,00;135.000,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC230799;TRD-FC158-2-O;COLLAR, PIPA;3G81-150-7750;32.000,00;PC;35;IDR;No;PPN;12,00%;10/07/2025;250703 D;10/07/2025;5.000,00;175.000,00
SCJP0003;BENGKEL RIDHO;SC250262;SCJP0003;RC230872;KYB-FS046-O;STOPPER;12201-01809-;143.000,00;PC;17;IDR;No;PPN;12,00%;10/07/2025;250703B;11/07/2025;-13.000,00;-221.000,00
SCJP0003;BENGKEL RIDHO;SC250262;SCJP0003;RC230873;KYB-FS046-O;STOPPER;12201-01809-;143.000,00;PC;17;IDR;No;PPN;12,00%;10/07/2025;250703 B;11/07/2025;13.000,00;221.000,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC230876;AHM-FJ001-O;JOINT B BRAKE ARM;95015-32001;60.000,00;PC;188;IDR;No;PPN;12,00%;10/07/2025;250703A;11/07/2025;-6.000,00;-1.128.000,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC230876;AHM-FP073-O;PIN A PILLION STEP 103;95015-81000;70.000,00;PC;89;IDR;No;PPN;12,00%;10/07/2025;250703A;11/07/2025;-3.000,00;-267.000,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC230874;AHM-FC188-LO;COLLAR START REDUCTION;28133-KRM -8501;15.000,00;PC;55;IDR;No;PPN;12,00%;10/07/2025;250703G;11/07/2025;-2.000,00;-109.820,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC230874;TYT-FH027-LO;HOL,CAB MOU CUSHION NO.1;52218-0K010;15.000,00;PC;124;IDR;No;PPN;12,00%;10/07/2025;250703G;11/07/2025;-2.100,00;-260.064,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC230874;TYT-FH028-LO;HOL,CAB MOU CUSHION NO.2;52219-0K010;21.000,00;PC;124;IDR;No;PPN;12,00%;10/07/2025;250703G;11/07/2025;-2.800,00;-346.752,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC230874;TYT-FH040-LO;HOL,CAB MOU CUSHION NO.2;52219-KK010;12.000,00;PC;124;IDR;No;PPN;12,00%;10/07/2025;250703G;11/07/2025;-1.500,00;-185.760,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC230875;AHM-FC188-LO;COLLAR START REDUCTION;28133-KRM -8501;15.000,00;PC;55;IDR;No;PPN;12,00%;10/07/2025;250703 G;11/07/2025;2.000,00;109.820,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC230875;TYT-FH027-LO;HOL,CAB MOU CUSHION NO.1;52218-0K010;15.000,00;PC;124;IDR;No;PPN;12,00%;10/07/2025;250703 G;11/07/2025;2.100,00;260.064,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC230875;TYT-FH028-LO;HOL,CAB MOU CUSHION NO.2;52219-0K010;21.000,00;PC;124;IDR;No;PPN;12,00%;10/07/2025;250703 G;11/07/2025;2.800,00;346.752,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC230875;TYT-FH040-LO;HOL,CAB MOU CUSHION NO.2;52219-KK010;12.000,00;PC;124;IDR;No;PPN;12,00%;10/07/2025;250703 G;11/07/2025;1.500,00;185.760,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC230877;AHM-FJ001-O;JOINT B BRAKE ARM;95015-32001;60.000,00;PC;188;IDR;No;PPN;12,00%;10/07/2025;250703 A;11/07/2025;6.000,00;1.128.000,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC230877;AHM-FP073-O;PIN A PILLION STEP 103;95015-81000;70.000,00;PC;89;IDR;No;PPN;12,00%;10/07/2025;250703 A;11/07/2025;3.000,00;267.000,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC230936;RC147-O;BUSH, M STAND;11205-K0J -N000-H1;331.000,00;PC;97;IDR;No;PPN;12,00%;14/07/2025;250704 F;14/07/2025;50.000,00;4.850.000,00
SCJP0003;BENGKEL RIDHO;LK251878;SCJP0003;RC230938;RC132;KAWAT GUIDE; CLAMPER A BRAKE HOSE;150.000,00;PC;294;IDR;No;PPN;12,00%;14/07/2025;250704 E;14/07/2025;7.500,00;2.205.000,00
SCJP0003;BENGKEL RIDHO;LK251878;SCJP0003;RC230939;RC132;KAWAT GUIDE; CLAMPER A BRAKE HOSE;150.000,00;PC;294;IDR;No;PPN;12,00%;14/07/2025;250704 E;14/07/2025;-7.500,00;-2.205.000,00
SCJP0003;BENGKEL RIDHO;LK251878;SCJP0003;RC230940;RC151;GUIDE CLMP COMP BRK HOSE;43150-K1ZN-N401;80.000,00;PC;349;IDR;No;PPN;12,00%;14/07/2025;250704 E;14/07/2025;7.500,00;2.619.000,00
SCJP0003;BENGKEL RIDHO;LK251878;SCJP0003;RC230941;RC132;KAWAT GUIDE; CLAMPER A BRAKE HOSE;150.000,00;PC;294;IDR;No;PPN;12,00%;14/07/2025;250704 C;14/07/2025;19.000,00;5.586.000,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC230943;AHM-FC193-1-O;PIPA COLLAR HORN SET;#0,8�0,08 X 52�0,5 X1219;18.000,00;PC;36;IDR;No;PPN;12,00%;14/07/2025;250704 D;14/07/2025;4.000,00;144.000,00
SCJP0003;BENGKEL RIDHO;SC250344;SCJP0003;RC230943;KYB-FW001-O;WASHER;12201-01010-OZ2;16.000,00;PC;29;IDR;No;PPN;12,00%;14/07/2025;250704 D;14/07/2025;2.000,00;58.000,00
