;;Acuan Pencarian;;ditampilkan;;;;;;;;;;;;;;;
Supplier;Name;Order;Supplier;Internal Reference;Item Number;Description;Description2;Quantity Ordered;Unit of Measure; PO Cost ;Currency;Taxable;Tax Class;Tax Rate;Receipt Date;External Reference;Transaction Date;Receipt Quantity;Receipt_Price
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250348;SCJP0012;RC231336;KYB-FW052-O2;WASHER;12201-01054-GJ9;14.000,00;PC;62;IDR;Yes;PPN;12,00%;18/07/2025;CNK-DO-25-07-0581;18/07/2025;2.000,00;124.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250348;SCJP0012;RC231336;SAS-FJ031-O;JOINT DRAIN;11345-GAG-7503;84.000,00;PC;30;IDR;Yes;PPN;12,00%;18/07/2025;CNK-DO-25-07-0581;18/07/2025;4.000,00;120.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250348;SCJP0012;RC231336;SIM-FJ040-O;JOINT METAL B;HK0J2-436-00-IN;168.000,00;PC;410;IDR;Yes;PPN;12,00%;18/07/2025;CNK-DO-25-07-0581;18/07/2025;8.000,00;3.280.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250348;SCJP0012;RC231336;SIM-FS032-O;SPRING SEAT;S3832-392-00-IN;12.000,00;PC;124;IDR;Yes;PPN;12,00%;18/07/2025;CNK-DO-25-07-0581;18/07/2025;2.000,00;248.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231364;KYB-FU016-O;UNDER BRACKET;12201-02059-GJ9;304.000,00;PC;451;IDR;Yes;PPN;12,00%;18/07/2025;CNK-DO-25-07-0585;18/07/2025;8.000,00;3.608.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231365;AHM-FB188-O2;BUSH, M STAND;11205-K0J -N000-H1;373.000,00;PC;88;IDR;Yes;PPN;12,00%;18/07/2025;CNK-DO-25-07-0584;18/07/2025;39.000,00;3.432.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231365;KYB-FS033-O;SPRING SEAT;12201-02621-OZ1;11.200,00;PC;200;IDR;Yes;PPN;12,00%;18/07/2025;CNK-DO-25-07-0584;18/07/2025;1.600,00;320.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231366;AHM-FJ022-O;JOINT BREATHER;11106-KAB -3002;168.000,00;PC;83;IDR;Yes;PPN;12,00%;18/07/2025;CNK-DO-25-07-0583;18/07/2025;6.000,00;498.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231366;AHM-FW034-O2;WASHER 16 MM;90501-KBN -9002;136.000,00;PC;92;IDR;Yes;PPN;12,00%;18/07/2025;CNK-DO-25-07-0583;18/07/2025;6.000,00;554.400,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231366;AHM-FW039-O2;WASHER SPECIAL 14 MM;90426-KZL -8400;36.000,00;PC;57;IDR;Yes;PPN;12,00%;18/07/2025;CNK-DO-25-07-0583;18/07/2025;2.000,00;114.200,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231366;AHM-FW072-O2;WASHER 12,2 X 29 X 2,5;90441-GY6 -9404;312.000,00;PC;72;IDR;Yes;PPN;12,00%;18/07/2025;CNK-DO-25-07-0583;18/07/2025;3.000,00;216.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231366;AHM-FW079-O2;WASHER,15X25,8X4;90401-K48 -A000;43.000,00;PC;75;IDR;Yes;PPN;12,00%;18/07/2025;CNK-DO-25-07-0583;18/07/2025;4.000,00;300.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231366;MII-FB186-O2;"BRACKET; DOC FT B";8-9752-9300-3;2.040,00;PC;5.500;IDR;Yes;PPN;12,00%;18/07/2025;CNK-DO-25-07-0583;18/07/2025;240;1.320.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231366;SIM-FB027-O;BUMP STOPPER COMP;C7551-138-10-IN;30.720,00;PC;279;IDR;Yes;PPN;12,00%;18/07/2025;CNK-DO-25-07-0583;18/07/2025;960;267.840,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231366;SIM-FJ040-O;JOINT METAL B;HK0J2-436-00-IN;240.000,00;PC;410;IDR;Yes;PPN;12,00%;18/07/2025;CNK-DO-25-07-0583;18/07/2025;8.000,00;3.280.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250348;SCJP0012;RC231388;AHM-FC064-O;COLLAR RR BRK PANEL SIDE;42313-GBG-B201;10.200,00;PC;419;IDR;Yes;PPN;12,00%;21/07/2025;CNK-DO-25-07-0590;21/07/2025;600;251.160,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250205;SCJP0012;RC231387;AHM-FC193-O;COLLAR HORN SET KPH;38117-KPH -8804;12.000,00;PC;27;IDR;Yes;PPN;12,00%;21/07/2025;CNK-DO-25-07-0590;21/07/2025;9.000,00;243.900,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250205;SCJP0012;RC231387;AHM-FW067-O2;WASHER 12 X 24 X 2,3;90439-KWZ -9002;64.000,00;PC;55;IDR;Yes;PPN;12,00%;21/07/2025;CNK-DO-25-07-0590;21/07/2025;2.000,00;109.600,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250205;SCJP0012;RC231387;CHN-FC145-O2;CLAMP OIL HOSE;009-M74-053;90.000,00;PC;47;IDR;Yes;PPN;12,00%;21/07/2025;CNK-DO-25-07-0590;21/07/2025;5.000,00;235.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250205;SCJP0012;RC231387;SIM-FJ014-O;JOINT METAL B;HKVB2-436-00-IN;152.000,00;PC;410;IDR;Yes;PPN;12,00%;21/07/2025;CNK-DO-25-07-0590;21/07/2025;8.000,00;3.280.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231391;KYB-FU016-O;UNDER BRACKET;12201-02059-GJ9;304.000,00;PC;451;IDR;Yes;PPN;12,00%;21/07/2025;CNK-DO-25-07-0587;21/07/2025;8.000,00;3.608.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231433;AHM-FJ022-O;JOINT BREATHER;11106-KAB -3002;168.000,00;PC;83;IDR;Yes;PPN;12,00%;21/07/2025;CNK-DO-25-07-0592;21/07/2025;3.000,00;249.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231433;AHM-FW034-O2;WASHER 16 MM;90501-KBN -9002;136.000,00;PC;92;IDR;Yes;PPN;12,00%;21/07/2025;CNK-DO-25-07-0592;21/07/2025;9.000,00;831.600,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231433;AHM-FW067-O2;WASHER 12 X 24 X 2,3;90439-KWZ -9002;80.000,00;PC;55;IDR;Yes;PPN;12,00%;21/07/2025;CNK-DO-25-07-0592;21/07/2025;2.000,00;109.600,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231433;AHM-FW072-O2;WASHER 12,2 X 29 X 2,5;90441-GY6 -9404;312.000,00;PC;72;IDR;Yes;PPN;12,00%;21/07/2025;CNK-DO-25-07-0592;21/07/2025;2.000,00;144.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231433;CHN-FC145-O2;CLAMP OIL HOSE;009-M74-053;90.000,00;PC;47;IDR;Yes;PPN;12,00%;21/07/2025;CNK-DO-25-07-0592;21/07/2025;7.500,00;352.500,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231433;MII-FB186-O2;"BRACKET; DOC FT B";8-9752-9300-3;2.040,00;PC;5.500;IDR;Yes;PPN;12,00%;21/07/2025;CNK-DO-25-07-0592;21/07/2025;240;1.320.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231433;MII-FB187-O;"BRACKET; EXH MANIFOLD";8975406020;2.160,00;PC;2.200;IDR;Yes;PPN;12,00%;21/07/2025;CNK-DO-25-07-0592;21/07/2025;432;950.400,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231439;AHM-FJ022-O;JOINT BREATHER;11106-KAB -3002;168.000,00;PC;83;IDR;Yes;PPN;12,00%;21/07/2025;CNK-DO-25-07-0591;21/07/2025;3.000,00;249.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231439;AHM-FP073-O2;PIN A PILLION STEP 103;95015-81000;85.000,00;PC;53;IDR;Yes;PPN;12,00%;21/07/2025;CNK-DO-25-07-0591;21/07/2025;7.500,00;400.500,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231439;AHM-FW034-O2;WASHER 16 MM;90501-KBN -9002;136.000,00;PC;92;IDR;Yes;PPN;12,00%;21/07/2025;CNK-DO-25-07-0591;21/07/2025;1.000,00;92.400,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231439;HMI-FC221-O;CLEVIS S/A, CYL PUSH ROD;31404-EW010;576;PC;2.570;IDR;Yes;PPN;12,00%;21/07/2025;CNK-DO-25-07-0591;21/07/2025;144;370.080,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231439;KYB-FS030-O;SPRING GUIDE;12201-02553-OZ1;9.600,00;PC;100;IDR;Yes;PPN;12,00%;21/07/2025;CNK-DO-25-07-0591;21/07/2025;2.400,00;240.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231439;MII-FD045-O;DOC BRKT, A;8-97524-512-2;2.184,00;PC;3.950;IDR;Yes;PPN;12,00%;21/07/2025;CNK-DO-25-07-0591;21/07/2025;168;663.600,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231439;SIM-FJ014-O;JOINT METAL B;HKVB2-436-00-IN;216.000,00;PC;410;IDR;Yes;PPN;12,00%;21/07/2025;CNK-DO-25-07-0591;21/07/2025;8.000,00;3.280.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250266;SCJP0012;RC231440;CHN-FC145-O2;CLAMP OIL HOSE;009-M74-053;90.000,00;PC;47;IDR;Yes;PPN;12,00%;21/07/2025;CNK-DO-25-07-0591;21/07/2025;7.500,00;352.500,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231441;KYB-FU016-O;UNDER BRACKET;12201-02059-GJ9;304.000,00;PC;451;IDR;Yes;PPN;12,00%;21/07/2025;CNK-DO-25-07-0594;21/07/2025;8.000,00;3.608.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231442;KYB-FU016-O;UNDER BRACKET;12201-02059-GJ9;304.000,00;PC;451;IDR;Yes;PPN;12,00%;21/07/2025;CNK-DO-25-07-0593;21/07/2025;8.000,00;3.608.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250348;SCJP0012;RC231477;SAS-FJ027-O;JOINT TUBE;19217-GET-3002;60.000,00;PC;20;IDR;Yes;PPN;12,00%;21/07/2025;CNK-DO-25-07-0597;21/07/2025;12.000,00;240.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250348;SCJP0012;RC231478;AHM-FC064-O;COLLAR RR BRK PANEL SIDE;42313-GBG-B201;10.200,00;PC;419;IDR;Yes;PPN;12,00%;21/07/2025;CNK-DO-25-07-0596;21/07/2025;150;62.790,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250348;SCJP0012;RC231479;SIM-FJ040-O;JOINT METAL B;HK0J2-436-00-IN;168.000,00;PC;410;IDR;Yes;PPN;12,00%;21/07/2025;CNK-DO-25-07-0595;21/07/2025;16.000,00;6.560.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231480;AHM-FC064-O;COLLAR RR BRK PANEL SIDE;42313-GBG-B201;14.400,00;PC;419;IDR;Yes;PPN;12,00%;21/07/2025;CNK-DO-25-07-0596;21/07/2025;600;251.160,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231480;AHM-FW034-O2;WASHER 16 MM;90501-KBN -9002;136.000,00;PC;92;IDR;Yes;PPN;12,00%;21/07/2025;CNK-DO-25-07-0596;21/07/2025;6.000,00;554.400,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231480;AHM-FW072-O2;WASHER 12,2 X 29 X 2,5;90441-GY6 -9404;312.000,00;PC;72;IDR;Yes;PPN;12,00%;21/07/2025;CNK-DO-25-07-0596;21/07/2025;2.000,00;144.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231480;SIM-FJ014-O;JOINT METAL B;HKVB2-436-00-IN;216.000,00;PC;410;IDR;Yes;PPN;12,00%;21/07/2025;CNK-DO-25-07-0596;21/07/2025;8.000,00;3.280.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250134;SCJP0012;RC231506;SIM-FJ040-O;JOINT METAL B;HK0J2-436-00-IN;320.000,00;PC;410;IDR;Yes;PPN;12,00%;18/07/2025;CNK-DO-25-07-0586;22/07/2025;27;11.070,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231521;SIM-FJ014-O;JOINT METAL B;HKVB2-436-00-IN;216.000,00;PC;410;IDR;Yes;PPN;12,00%;22/07/2025;CNK-DO-25-07-0598;22/07/2025;8.000,00;3.280.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231522;KYB-FU016-O;UNDER BRACKET;12201-02059-GJ9;304.000,00;PC;451;IDR;Yes;PPN;12,00%;22/07/2025;CNK-DO-25-07-0599;22/07/2025;8.000,00;3.608.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231523;AHM-FW034-O2;WASHER 16 MM;90501-KBN -9002;136.000,00;PC;92;IDR;Yes;PPN;12,00%;22/07/2025;CNK-DO-25-07-0600;22/07/2025;1.000,00;92.400,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231523;AHM-FW056-O2;WASHER 8 MM;90483-K15-9000;25.000,00;PC;48;IDR;Yes;PPN;12,00%;22/07/2025;CNK-DO-25-07-0600;22/07/2025;5.000,00;240.500,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231523;AHM-FW072-O2;WASHER 12,2 X 29 X 2,5;90441-GY6 -9404;312.000,00;PC;72;IDR;Yes;PPN;12,00%;22/07/2025;CNK-DO-25-07-0600;22/07/2025;7.000,00;504.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250348;SCJP0012;RC231546;AHM-FW046-O2;WASHER 14,1 MM;90462-KWW -7400;24.000,00;PC;90;IDR;Yes;PPN;12,00%;22/07/2025;CNK-DO-25-07-0602;22/07/2025;2.000,00;180.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250348;SCJP0012;RC231546;SIM-FJ014-O;JOINT METAL B;HKVB2-436-00-IN;152.000,00;PC;410;IDR;Yes;PPN;12,00%;22/07/2025;CNK-DO-25-07-0602;22/07/2025;8.000,00;3.280.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231547;AHM-FC064-O;COLLAR RR BRK PANEL SIDE;42313-GBG-B201;14.400,00;PC;419;IDR;Yes;PPN;12,00%;22/07/2025;CNK-DO-25-07-0602;22/07/2025;450;188.370,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231547;AHM-FW072-O2;WASHER 12,2 X 29 X 2,5;90441-GY6 -9404;312.000,00;PC;72;IDR;Yes;PPN;12,00%;22/07/2025;CNK-DO-25-07-0602;22/07/2025;5.000,00;360.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231547;AHM-FW086-O;WASHER SEALING 6 MM;90401-K0JA-N000;270.000,00;PC;58;IDR;Yes;PPN;12,00%;22/07/2025;CNK-DO-25-07-0602;22/07/2025;30.000,00;1.740.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231547;CHN-FR012-O;RING SPEEDOMETER GEARBOX;54612-41H00;1.800,00;PC;56;IDR;Yes;PPN;12,00%;22/07/2025;CNK-DO-25-07-0602;22/07/2025;600;33.372,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231548;KYB-FU016-O;UNDER BRACKET;12201-02059-GJ9;304.000,00;PC;451;IDR;Yes;PPN;12,00%;22/07/2025;CNK-DO-25-07-0601;22/07/2025;8.000,00;3.608.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231582;AHM-FW046-O2;WASHER 14,1 MM;90462-KWW -7400;24.000,00;PC;90;IDR;Yes;PPN;12,00%;23/07/2025;CNK-DO-25-07-0604;23/07/2025;5.000,00;450.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231581;AHM-FB188-O2;BUSH, M STAND;11205-K0J -N000-H1;373.000,00;PC;88;IDR;Yes;PPN;12,00%;23/07/2025;CNK-DO-25-07-0605;23/07/2025;33.000,00;2.904.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231581;KYB-FU016-O;UNDER BRACKET;12201-02059-GJ9;304.000,00;PC;451;IDR;Yes;PPN;12,00%;23/07/2025;CNK-DO-25-07-0605;23/07/2025;8.000,00;3.608.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231583;AHM-FW034-O2;WASHER 16 MM;90501-KBN -9002;136.000,00;PC;92;IDR;Yes;PPN;12,00%;23/07/2025;CNK-DO-25-07-0603;23/07/2025;3.000,00;277.200,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231583;AHM-FW072-O2;WASHER 12,2 X 29 X 2,5;90441-GY6 -9404;312.000,00;PC;72;IDR;Yes;PPN;12,00%;23/07/2025;CNK-DO-25-07-0603;23/07/2025;3.000,00;216.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250348;SCJP0012;RC231599;SIM-FJ014-O;JOINT METAL B;HKVB2-436-00-IN;152.000,00;PC;410;IDR;Yes;PPN;12,00%;23/07/2025;CNK-DO-25-07-0607;23/07/2025;8.000,00;3.280.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231600;KYB-FU016-O;UNDER BRACKET;12201-02059-GJ9;304.000,00;PC;451;IDR;Yes;PPN;12,00%;23/07/2025;CNK-DO-25-07-0608;23/07/2025;8.000,00;3.608.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231598;AHM-FJ022-O;JOINT BREATHER;11106-KAB -3002;168.000,00;PC;83;IDR;Yes;PPN;12,00%;23/07/2025;CNK-DO-25-07-0606;23/07/2025;9.000,00;747.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231598;IAM-FS081-O2;SPACER, RR SPRING;P66231-2110;3.024,00;PC;525;IDR;Yes;PPN;12,00%;23/07/2025;CNK-DO-25-07-0606;23/07/2025;3.024,00;1.587.600,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231598;SAS-FJ031-O;JOINT DRAIN;11345-GAG-7503;66.000,00;PC;30;IDR;Yes;PPN;12,00%;23/07/2025;CNK-DO-25-07-0606;23/07/2025;25.000,00;750.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231598;SIM-FB028-O;BUMP STOPPER COMP;C7551-138-00-IN;10.080,00;PC;270;IDR;Yes;PPN;12,00%;23/07/2025;CNK-DO-25-07-0606;23/07/2025;960;259.200,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231605;AHM-FW039-O2;WASHER SPECIAL 14 MM;90426-KZL -8400;36.000,00;PC;57;IDR;Yes;PPN;12,00%;23/07/2025;CNK-DO-25-07-0609;23/07/2025;2.000,00;114.200,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231604;AHM-FC064-O;COLLAR RR BRK PANEL SIDE;42313-GBG-B201;14.400,00;PC;419;IDR;Yes;PPN;12,00%;23/07/2025;CNK-DO-25-07-0609;23/07/2025;600;251.160,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250348;SCJP0012;RC231603;AHM-FW034-O2;WASHER 16 MM;90501-KBN -9002;136.000,00;PC;92;IDR;Yes;PPN;12,00%;23/07/2025;CNK-DO-25-07-0609;23/07/2025;2.000,00;184.800,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250348;SCJP0012;RC231603;AHM-FW039-O2;WASHER SPECIAL 14 MM;90426-KZL -8400;28.000,00;PC;57;IDR;Yes;PPN;12,00%;23/07/2025;CNK-DO-25-07-0609;23/07/2025;2.000,00;114.200,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250348;SCJP0012;RC231603;AHM-FW067-O2;WASHER 12 X 24 X 2,3;90439-KWZ -9002;80.000,00;PC;55;IDR;Yes;PPN;12,00%;23/07/2025;CNK-DO-25-07-0609;23/07/2025;4.000,00;219.200,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250348;SCJP0012;RC231603;SIM-FJ040-O;JOINT METAL B;HK0J2-436-00-IN;168.000,00;PC;410;IDR;Yes;PPN;12,00%;23/07/2025;CNK-DO-25-07-0609;23/07/2025;8.000,00;3.280.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231604;AHM-FW072-O2;WASHER 12,2 X 29 X 2,5;90441-GY6 -9404;312.000,00;PC;72;IDR;Yes;PPN;12,00%;23/07/2025;CNK-DO-25-07-0609;23/07/2025;2.000,00;144.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231604;AHM-FW079-O2;WASHER,15X25,8X4;90401-K48 -A000;43.000,00;PC;75;IDR;Yes;PPN;12,00%;23/07/2025;CNK-DO-25-07-0609;23/07/2025;4.000,00;300.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231734;KYB-FU016-O;UNDER BRACKET;12201-02059-GJ9;304.000,00;PC;451;IDR;Yes;PPN;12,00%;25/07/2025;CNK-DO-25-07-0620;25/07/2025;8.000,00;3.608.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231736;AHM-FW072-O2;WASHER 12,2 X 29 X 2,5;90441-GY6 -9404;312.000,00;PC;72;IDR;Yes;PPN;12,00%;25/07/2025;CNK-DO-25-07-0619;25/07/2025;16.000,00;1.152.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231663;KYB-FU016-O;UNDER BRACKET;12201-02059-GJ9;304.000,00;PC;451;IDR;Yes;PPN;12,00%;24/07/2025;CNK-DO-25-07-0610;24/07/2025;8.000,00;3.608.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231666;AHM-FB188-O2;BUSH, M STAND;11205-K0J -N000-H1;373.000,00;PC;88;IDR;Yes;PPN;12,00%;24/07/2025;CNK-DO-25-07-0611;24/07/2025;24.000,00;2.112.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231667;AHM-FB188-O2;BUSH, M STAND;11205-K0J -N000-H1;373.000,00;PC;88;IDR;Yes;PPN;12,00%;24/07/2025;CNK-DO-25-07-0613;24/07/2025;27.000,00;2.376.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231668;AHM-FP073-O2;PIN A PILLION STEP 103;95015-81000;85.000,00;PC;53;IDR;Yes;PPN;12,00%;24/07/2025;CNK-DO-25-07-0612;24/07/2025;5.000,00;267.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231668;AHM-FW034-O2;WASHER 16 MM;90501-KBN -9002;136.000,00;PC;92;IDR;Yes;PPN;12,00%;24/07/2025;CNK-DO-25-07-0612;24/07/2025;4.000,00;369.600,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231668;AHM-FW039-O2;WASHER SPECIAL 14 MM;90426-KZL -8400;36.000,00;PC;57;IDR;Yes;PPN;12,00%;24/07/2025;CNK-DO-25-07-0612;24/07/2025;4.000,00;228.400,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231668;AHM-FW067-O2;WASHER 12 X 24 X 2,3;90439-KWZ -9002;80.000,00;PC;55;IDR;Yes;PPN;12,00%;24/07/2025;CNK-DO-25-07-0612;24/07/2025;6.000,00;328.800,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250266;SCJP0012;RC231705;AHM-FW056-O2;WASHER 8 MM;90483-K15-9000;25.000,00;PC;48;IDR;Yes;PPN;12,00%;24/07/2025;CNK-DO-25-07-0614;24/07/2025;5.000,00;240.500,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231708;SIM-FJ014-O;JOINT METAL B;HKVB2-436-00-IN;216.000,00;PC;410;IDR;Yes;PPN;12,00%;24/07/2025;CNK-DO-25-07-0618;24/07/2025;8.000,00;3.280.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231709;KYB-FU016-O;UNDER BRACKET;12201-02059-GJ9;304.000,00;PC;451;IDR;Yes;PPN;12,00%;24/07/2025;CNK-DO-25-07-0616;24/07/2025;8.000,00;3.608.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231711;AHM-FW072-O2;WASHER 12,2 X 29 X 2,5;90441-GY6 -9404;312.000,00;PC;72;IDR;Yes;PPN;12,00%;24/07/2025;CNK-DO-25-07-0615;24/07/2025;3.000,00;216.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250348;SCJP0012;RC231710;AHM-FJ022-O;JOINT BREATHER;11106-KAB -3002;144.000,00;PC;83;IDR;Yes;PPN;12,00%;24/07/2025;CNK-DO-25-07-0615;24/07/2025;6.000,00;498.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250348;SCJP0012;RC231710;SIM-FB027-O;BUMP STOPPER COMP;C7551-138-10-IN;27.360,00;PC;279;IDR;Yes;PPN;12,00%;24/07/2025;CNK-DO-25-07-0615;24/07/2025;3.360,00;937.440,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250397;SCJP0012;RC231713;AHM-FC064-O;COLLAR RR BRK PANEL SIDE;42313-GBG-B201;14.400,00;PC;419;IDR;Yes;PPN;12,00%;24/07/2025;CNK-DO-25-07-0617;24/07/2025;300;125.580,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250348;SCJP0012;RC231712;AHM-FJ022-O;JOINT BREATHER;11106-KAB -3002;144.000,00;PC;83;IDR;Yes;PPN;12,00%;24/07/2025;CNK-DO-25-07-0617;24/07/2025;3.000,00;249.000,00
SCJP0012;HOTMAL JAYA PERKASA, PT;SC250348;SCJP0012;RC231712;AHM-FP073-O2;PIN A PILLION STEP 103;95015-81000;65.000,00;PC;53;IDR;Yes;PPN;12,00%;24/07/2025;CNK-DO-25-07-0617;24/07/2025;5.000,00;267.000,00
